Aerial                         @2.2.6          aqua/Aerial
p5.28-text-tabulardisplay      @1.380.0        perl/p5-text-tabulardisplay
p5.30-text-tabulardisplay      @1.380.0        perl/p5-text-tabulardisplay
p5.32-text-tabulardisplay      @1.380.0        perl/p5-text-tabulardisplay
p5-text-template               @1.590.0        perl/p5-text-template
p5.28-text-template            @1.590.0        perl/p5-text-template
p5.30-text-template            @1.590.0        perl/p5-text-template
p5.32-text-template            @1.590.0        perl/p5-text-template
p5-text-template-simple        @0.910.0        perl/p5-text-template-simple
p5.28-text-template-simple     @0.910.0        perl/p5-text-template-simple
p5.30-text-template-simple     @0.910.0        perl/p5-text-template-simple
p5.32-text-template-simple     @0.910.0        perl/p5-text-template-simple
p5-text-trac                   @0.240.0        perl/p5-text-trac
p5.28-text-trac                @0.240.0        perl/p5-text-trac
p5.30-text-trac                @0.240.0        perl/p5-text-trac
p5.32-text-trac                @0.240.0        perl/p5-text-trac
p5-text-trim                   @1.30.0         perl/p5-text-trim
p5.28-text-trim                @1.30.0         perl/p5-text-trim
p5.30-text-trim                @1.30.0         perl/p5-text-trim
p5.32-text-trim                @1.30.0         perl/p5-text-trim
p5-text-unidecode              @1.300.0        perl/p5-text-unidecode
p5.28-text-unidecode           @1.300.0        perl/p5-text-unidecode
p5.30-text-unidecode           @1.300.0        perl/p5-text-unidecode
p5.32-text-unidecode           @1.300.0        perl/p5-text-unidecode
p5-text-vfile-asdata           @0.80.0         perl/p5-text-vfile-asdata
p5.28-text-vfile-asdata        @0.80.0         perl/p5-text-vfile-asdata
p5.30-text-vfile-asdata        @0.80.0         perl/p5-text-vfile-asdata
p5.32-text-vfile-asdata        @0.80.0         perl/p5-text-vfile-asdata
p5-text-vimcolor               @0.290.0        perl/p5-text-vimcolor
p5.28-text-vimcolor            @0.290.0        perl/p5-text-vimcolor
p5.30-text-vimcolor            @0.290.0        perl/p5-text-vimcolor
p5.32-text-vimcolor            @0.290.0        perl/p5-text-vimcolor
p5-text-visualwidth            @0.20.0         perl/p5-text-visualwidth
p5.28-text-visualwidth         @0.20.0         perl/p5-text-visualwidth
p5.30-text-visualwidth         @0.20.0         perl/p5-text-visualwidth
p5.32-text-visualwidth         @0.20.0         perl/p5-text-visualwidth
p5-text-wikiformat             @0.810.0        perl/p5-text-wikiformat
p5.28-text-wikiformat          @0.810.0        perl/p5-text-wikiformat
p5.30-text-wikiformat          @0.810.0        perl/p5-text-wikiformat
p5.32-text-wikiformat          @0.810.0        perl/p5-text-wikiformat
p5-text-wrapi18n               @0.60.0         perl/p5-text-wrapi18n
p5.28-text-wrapi18n            @0.60.0         perl/p5-text-wrapi18n
p5.30-text-wrapi18n            @0.60.0         perl/p5-text-wrapi18n
p5.32-text-wrapi18n            @0.60.0         perl/p5-text-wrapi18n
p5-text-wrapper                @1.50.0         perl/p5-text-wrapper
p5.28-text-wrapper             @1.50.0         perl/p5-text-wrapper
p5.30-text-wrapper             @1.50.0         perl/p5-text-wrapper
p5.32-text-wrapper             @1.50.0         perl/p5-text-wrapper
p5-text-xslate                 @3.5.8          perl/p5-text-xslate
p5.28-text-xslate              @3.5.8          perl/p5-text-xslate
p5.30-text-xslate              @3.5.8          perl/p5-text-xslate
p5.32-text-xslate              @3.5.8          perl/p5-text-xslate
p5-thrift                      @0.13.0         perl/p5-thrift
p5.28-thrift                   @0.13.0         perl/p5-thrift
p5.30-thrift                   @0.13.0         perl/p5-thrift
p5.32-thrift                   @0.13.0         perl/p5-thrift
p5-throwable                   @0.200.13       perl/p5-throwable
p5.28-throwable                @0.200.13       perl/p5-throwable
p5.30-throwable                @0.200.13       perl/p5-throwable
p5.32-throwable                @0.200.13       perl/p5-throwable
p5-tie-cycle                   @1.226.0        perl/p5-tie-cycle
p5.28-tie-cycle                @1.226.0        perl/p5-tie-cycle
p5.30-tie-cycle                @1.226.0        perl/p5-tie-cycle
p5.32-tie-cycle                @1.226.0        perl/p5-tie-cycle
p5-tie-dbi                     @1.80.0         perl/p5-tie-dbi
p5.28-tie-dbi                  @1.80.0         perl/p5-tie-dbi
p5.30-tie-dbi                  @1.80.0         perl/p5-tie-dbi
p5.32-tie-dbi                  @1.80.0         perl/p5-tie-dbi
p5-tie-encryptedhash           @1.240.0        perl/p5-tie-encryptedhash
p5.28-tie-encryptedhash        @1.240.0        perl/p5-tie-encryptedhash
p5.30-tie-encryptedhash        @1.240.0        perl/p5-tie-encryptedhash
p5.32-tie-encryptedhash        @1.240.0        perl/p5-tie-encryptedhash
p5-tie-function                @0.20.0         perl/p5-tie-function
p5.28-tie-function             @0.20.0         perl/p5-tie-function
p5.30-tie-function             @0.20.0         perl/p5-tie-function
p5.32-tie-function             @0.20.0         perl/p5-tie-function
p5-tie-ixhash                  @1.230.0        perl/p5-tie-ixhash
p5.28-tie-ixhash               @1.230.0        perl/p5-tie-ixhash
p5.30-tie-ixhash               @1.230.0        perl/p5-tie-ixhash
p5.32-tie-ixhash               @1.230.0        perl/p5-tie-ixhash
p5-tie-refhash                 @1.400.0        perl/p5-tie-refhash
p5.28-tie-refhash              @1.400.0        perl/p5-tie-refhash
p5.30-tie-refhash              @1.400.0        perl/p5-tie-refhash
p5.32-tie-refhash              @1.400.0        perl/p5-tie-refhash
p5-tie-refhash-weak            @0.90.0         perl/p5-tie-refhash-weak
p5.28-tie-refhash-weak         @0.90.0         perl/p5-tie-refhash-weak
p5.30-tie-refhash-weak         @0.90.0         perl/p5-tie-refhash-weak
p5.32-tie-refhash-weak         @0.90.0         perl/p5-tie-refhash-weak
p5-tie-simple                  @1.40.0         perl/p5-tie-simple
p5.28-tie-simple               @1.40.0         perl/p5-tie-simple
p5.30-tie-simple               @1.40.0         perl/p5-tie-simple
p5.32-tie-simple               @1.40.0         perl/p5-tie-simple
p5-tie-toobject                @0.30.0         perl/p5-tie-toobject
p5.28-tie-toobject             @0.30.0         perl/p5-tie-toobject
p5.30-tie-toobject             @0.30.0         perl/p5-tie-toobject
p5.32-tie-toobject             @0.30.0         perl/p5-tie-toobject
p5-time-duration               @1.210.0        perl/p5-time-duration
p5.28-time-duration            @1.210.0        perl/p5-time-duration
p5.30-time-duration            @1.210.0        perl/p5-time-duration
p5.32-time-duration            @1.210.0        perl/p5-time-duration
p5-time-duration-parse         @0.150.0        perl/p5-time-duration-parse
p5.28-time-duration-parse      @0.150.0        perl/p5-time-duration-parse
p5.30-time-duration-parse      @0.150.0        perl/p5-time-duration-parse
p5.32-time-duration-parse      @0.150.0        perl/p5-time-duration-parse
p5-time-epoch                  @0.20.0         perl/p5-time-epoch
p5.28-time-epoch               @0.20.0         perl/p5-time-epoch
p5.30-time-epoch               @0.20.0         perl/p5-time-epoch
p5.32-time-epoch               @0.20.0         perl/p5-time-epoch
p5-time-format                 @1.160.0        perl/p5-time-format
p5.28-time-format              @1.160.0        perl/p5-time-format
p5.30-time-format              @1.160.0        perl/p5-time-format
p5.32-time-format              @1.160.0        perl/p5-time-format
p5-time-hires                  @1.976.400      perl/p5-time-hires
p5.28-time-hires               @1.976.400      perl/p5-time-hires
p5.30-time-hires               @1.976.400      perl/p5-time-hires
p5.32-time-hires               @1.976.400      perl/p5-time-hires
p5-time-local                  @1.300.0        perl/p5-time-local
p5.28-time-local               @1.300.0        perl/p5-time-local
p5.30-time-local               @1.300.0        perl/p5-time-local
p5.32-time-local               @1.300.0        perl/p5-time-local
p5-time-mock                   @0.0.2          perl/p5-time-mock
p5.28-time-mock                @0.0.2          perl/p5-time-mock
p5.30-time-mock                @0.0.2          perl/p5-time-mock
p5.32-time-mock                @0.0.2          perl/p5-time-mock
p5-time-out                    @0.110.0        perl/p5-time-out
p5.28-time-out                 @0.110.0        perl/p5-time-out
p5.30-time-out                 @0.110.0        perl/p5-time-out
p5.32-time-out                 @0.110.0        perl/p5-time-out
p5-time-parsedate              @2015.103.0     perl/p5-time-parsedate
p5.28-time-parsedate           @2015.103.0     perl/p5-time-parsedate
p5.30-time-parsedate           @2015.103.0     perl/p5-time-parsedate
p5.32-time-parsedate           @2015.103.0     perl/p5-time-parsedate
p5-time-period                 @1.250.0        perl/p5-time-period
p5.28-time-period              @1.250.0        perl/p5-time-period
p5.30-time-period              @1.250.0        perl/p5-time-period
p5.32-time-period              @1.250.0        perl/p5-time-period
p5-time-piece                  @1.340.100      perl/p5-time-piece
p5.28-time-piece               @1.340.100      perl/p5-time-piece
p5.30-time-piece               @1.340.100      perl/p5-time-piece
p5.32-time-piece               @1.340.100      perl/p5-time-piece
p5-time-progress               @2.120.0        perl/p5-time-progress
p5.28-time-progress            @2.120.0        perl/p5-time-progress
p5.30-time-progress            @2.120.0        perl/p5-time-progress
p5.32-time-progress            @2.120.0        perl/p5-time-progress
p5-time-warp                   @0.540.0        perl/p5-time-warp
p5.28-time-warp                @0.540.0        perl/p5-time-warp
p5.30-time-warp                @0.540.0        perl/p5-time-warp
p5.32-time-warp                @0.540.0        perl/p5-time-warp
p5-time-y2038                  @20100403       perl/p5-time-y2038
p5.28-time-y2038               @20100403       perl/p5-time-y2038
p5.30-time-y2038               @20100403       perl/p5-time-y2038
p5.32-time-y2038               @20100403       perl/p5-time-y2038
p5-timedate                    @2.330.0        perl/p5-timedate
p5.28-timedate                 @2.330.0        perl/p5-timedate
p5.30-timedate                 @2.330.0        perl/p5-timedate
p5.32-timedate                 @2.330.0        perl/p5-timedate
p5-tk                          @804.36.0       perl/p5-tk
p5.28-tk                       @804.36.0       perl/p5-tk
p5.30-tk                       @804.36.0       perl/p5-tk
p5.32-tk                       @804.36.0       perl/p5-tk
p5-tk-dynatabframe             @0.230.0        perl/p5-tk-dynatabframe
p5.28-tk-dynatabframe          @0.230.0        perl/p5-tk-dynatabframe
p5.30-tk-dynatabframe          @0.230.0        perl/p5-tk-dynatabframe
p5.32-tk-dynatabframe          @0.230.0        perl/p5-tk-dynatabframe
p5-tk-graphviz                 @1.90.0         perl/p5-tk-graphviz
p5.28-tk-graphviz              @1.90.0         perl/p5-tk-graphviz
p5.30-tk-graphviz              @1.90.0         perl/p5-tk-graphviz
p5.32-tk-graphviz              @1.90.0         perl/p5-tk-graphviz
p5-tk-idelayout                @0.370.200      perl/p5-tk-idelayout
p5.28-tk-idelayout             @0.370.200      perl/p5-tk-idelayout
p5.30-tk-idelayout             @0.370.200      perl/p5-tk-idelayout
p5.32-tk-idelayout             @0.370.200      perl/p5-tk-idelayout
p5-tk-matchentry               @0.500.0        perl/p5-tk-matchentry
p5.28-tk-matchentry            @0.500.0        perl/p5-tk-matchentry
p5.30-tk-matchentry            @0.500.0        perl/p5-tk-matchentry
p5.32-tk-matchentry            @0.500.0        perl/p5-tk-matchentry
p5-tk-tablematrix              @1.260.0        perl/p5-tk-tablematrix
p5.28-tk-tablematrix           @1.260.0        perl/p5-tk-tablematrix
p5.30-tk-tablematrix           @1.260.0        perl/p5-tk-tablematrix
p5.32-tk-tablematrix           @1.260.0        perl/p5-tk-tablematrix
p5-tkx                         @1.100.0        perl/p5-tkx
p5.28-tkx                      @1.100.0        perl/p5-tkx
p5.30-tkx                      @1.100.0        perl/p5-tkx
p5.32-tkx                      @1.100.0        perl/p5-tkx
p5-tree-dag_node               @1.310.0        perl/p5-tree-dag_node
p5.28-tree-dag_node            @1.310.0        perl/p5-tree-dag_node
p5.30-tree-dag_node            @1.310.0        perl/p5-tree-dag_node
p5.32-tree-dag_node            @1.310.0        perl/p5-tree-dag_node
p5-tree-simple                 @1.330.0        perl/p5-tree-simple
p5.28-tree-simple              @1.330.0        perl/p5-tree-simple
p5.30-tree-simple              @1.330.0        perl/p5-tree-simple
p5.32-tree-simple              @1.330.0        perl/p5-tree-simple
p5-tree-simple-view            @0.190.0        perl/p5-tree-simple-view
p5.28-tree-simple-view         @0.190.0        perl/p5-tree-simple-view
p5.30-tree-simple-view         @0.190.0        perl/p5-tree-simple-view
p5.32-tree-simple-view         @0.190.0        perl/p5-tree-simple-view
p5-tree-simple-visitorfactory  @0.150.0        perl/p5-tree-simple-visitorfactory
p5.28-tree-simple-visitorfactory @0.150.0        perl/p5-tree-simple-visitorfactory
p5.30-tree-simple-visitorfactory @0.150.0        perl/p5-tree-simple-visitorfactory
p5.32-tree-simple-visitorfactory @0.150.0        perl/p5-tree-simple-visitorfactory
p5-treepath                    @0.220.0        perl/p5-treepath
p5.28-treepath                 @0.220.0        perl/p5-treepath
p5.30-treepath                 @0.220.0        perl/p5-treepath
p5.32-treepath                 @0.220.0        perl/p5-treepath
p5-treepath-role-graph         @0.70.0         perl/p5-treepath-role-graph
p5.28-treepath-role-graph      @0.70.0         perl/p5-treepath-role-graph
p5.30-treepath-role-graph      @0.70.0         perl/p5-treepath-role-graph
p5.32-treepath-role-graph      @0.70.0         perl/p5-treepath-role-graph
p5-try-tiny                    @0.300.0        perl/p5-try-tiny
p5.28-try-tiny                 @0.300.0        perl/p5-try-tiny
p5.30-try-tiny                 @0.300.0        perl/p5-try-tiny
p5.32-try-tiny                 @0.300.0        perl/p5-try-tiny
